id	date	etf_anchor	keyword	signal_content(60)	excess_cum	退役原因
110	2025-10-22	创新药/医药/CRO	事件催化/BD授权	信达生物达成中国创新药BD史上最大单：总成交金额114亿美元(约800亿人民币)，里程碑式付款(非一次性)。当前市值14	-0.124	过时封顶
615	2025-10-22	创新药/医药/CRO	事件催化/创新药	信达生物达成114亿美元BD协议，创中国创新药BD最大单，市场预期创新药板块受利好带动。|【数据】114亿美元BD协议|	-0.124	过时封顶
142	2025-11-16	创新药/医药/CRO	事件催化/流感疫苗	医药流感板块市场表现|【数据】流感疫苗市场预期及潜在炒作逻辑|【时间】2025-11-16|【信息差】大类资产轮动中储能	-0.1929	过时封顶
603	2025-11-16	创新药/医药/CRO	事件催化/医药	金迪克流感疫苗：券商预期2025年批发量百万支、单支88元，对应收入约1亿元，2025年Q3已实现7400万	-0.1929	过时封顶
666	2025-11-20	券商/金融	需求爆发/银行	银行股大涨，主动型基金提高银行持股占比，农业银行PB达1.04可能阶段性高点，中国银行/工商银行PB较低有补涨机会|【数	-0.2276	过时封顶
252	2025-12-01	创新药/医药/CRO	情绪周期/连板梯队	连板梯队高位全红：6板金富科技（重组），4板海欣食品（消费），4板海王生物（医药商业）|【数据】6板1只+4板2只高位全	-0.2586	过时封顶
346	2025-12-17	券商/金融	事件催化/券商合并	中金拟换股吸收合并东兴、信达证券，参考国泰海通合并后表现行情大概率短暂|【数据】中金换股吸收合并|【时间】2025-12	-0.1729	过时封顶
561	2026-01-12	商业航天/卫星	SpaceX卫星	美国FCC批准SpaceX新增7500颗第二代卫星，总授权量达1.5万颗，中美在卫星轨道资源争夺持续，国内非可回收火箭发	-0.4137	过时封顶
474	2026-01-25	商业航天/卫星	事件催化/亚马逊卫星	2月12日亚马逊第一地球轨道卫星发射，若成功将新增计算器，直接催化商业航天板块|【数据】2月12日发射|【时间】2026	-0.5071	过时封顶
481	2026-01-26	商业航天/卫星	情绪周期/第四周期	涨停71家，跌停数快速回升，大额资金流出近1000亿，市场情绪明显降温；可能处于第四周期（情绪衰退期），但五板高标白银有	-0.4274	过时封顶
482	2026-01-27	商业航天/卫星	技术升级/国家队	商业航天题材长期看好，国家队资金介入是重要支撑，具备持续爆发潜力，下一波强度预期|【数据】国家队资金介入|【时间】202	-0.4344	过时封顶
511	2026-01-28	商业航天/卫星	事件催化/商业航天	马斯克计划6月推动SpaceX上市相关标的再生科技当日涨停板块进入产业底寻找阶段。|【数据】SpaceX计划6月上市|【	-0.4369	过时封顶
513	2026-01-28	商业航天/卫星	事件催化/卫星通信	欧盟正式启动IRIS2卫星通信星座含280+颗卫星首批服务2029年推出德国莱茵金属竞标打造德国版星链欧洲卫星通信自主化	-0.4369	过时封顶
514	2026-01-28	有色金属	供给过剩/铝	上期所公告增加新疆某厂铝锭为可交收标的直接导致铝注册仓单增加供给端增量铝相关股票大概率下跌。|【数据】注册仓单增加|【时	-0.3038	过时封顶
518	2026-01-29	黄金/贵金属	涨价驱动/资源	资源股反内卷驱动并购整合反对低价低质重复竞争优化产业格局；湖南黄金因收购持续一字连板；煤炭现货价格未涨但山西焦化持续走高	-0.3001	过时封顶
529	2026-02-03	商业航天/卫星	事件催化/商业航天	SpaceX收购AI企业XAI将火箭业务卫星网络社交媒体及AI业务整合至同一家公司预计2026年6月完成整体上市带动商业	-0.3589	过时封顶
531	2026-02-03	AI软件/应用	需求爆发/AI应用	PLTR营收同比+70%盘前涨近10%作为AI应用领域盈利性核心锚定标的业绩向好将提升资本市场对AI应用落地信心带动A股	-0.2309	过时封顶
537	2026-02-03	商业航天/卫星	情绪第四周期→第一周期/冰点修复	冰点修复走势涨停89个触及跌停27个跌停10个三个冰点转折股集体连板符合第四周期内冰点转折规律；指数收出中阳线商业航天强	-0.3589	过时封顶
1034	2026-03-01	稀土	钨/稀土/硒涨价	钨矿价格持续上涨曾出现集体涨停，稀土涨价具持续性为小金属核心布局方向，硒操作核心跟踪现货价格|【数据】钨矿集体涨停/价格	-0.2259	过时封顶
1035	2026-03-01	AI软件/应用	openrouter调用量爆发	openrouter平台大模型周度调用量4个月翻倍8个月翻4倍，从2025年7月3.5T增长到2026年1月14T，大模	-0.2725	过时封顶
1047	2026-03-03	黄金/贵金属	降息预期清零/加息升温	欧洲央行将年内降息预期清零开始定价加息，美联储倾向按兵不动货币政策从宽松转向紧缩/中性|【数据】降息预期清零|【时间】2	-0.1851	过时封顶
936	2026-03-09	有色金属	覆铜板涨价|建滔提价10%	覆铜板、电子铜箔持续涨价，建滔积层板宣布提价10%。CCL升级带动上游球形硅微粉增量，国内产能极少。|【数据】建滔提价1	-0.1513	过时封顶
